failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
0,120,239378464,95,0,100,5,100,0,72,20696434,100,713,100,0,100,5,100,0,100,0,100,0,100,0,100,0,76,24,100,0,100,0,100,1573,24,24,100,0,100,0,200,0,100,703,100,2066553890,100,8857539480
0,109,22681824,97,0,100,3,100,0,84,244533178,93,6273,100,0,100,3,100,0,100,0,100,0,100,0,100,0,80,20,100,0,100,0,91,19486,20,20,100,0,100,0,200,0,100,6152,100,24539123784,100,5922822619
0,120,239350344,98,0,100,2,100,0,75,36135930,99,1094,100,0,100,2,100,0,100,0,100,0,100,0,100,0,68,32,100,0,100,0,97,6817,32,32,100,0,100,0,200,0,100,950,100,5975578656,100,436667019
0,113,58232536,91,0,100,9,100,0,86,409033760,92,7876,100,0,100,9,100,0,100,0,100,0,100,2,100,0,74,26,100,0,100,0,96,9288,26,26,100,0,100,0,200,0,100,7837,100,20194853689,100,2.00511E+11
0,106,12035200,96,0,100,4,100,0,77,55634149,99,1448,100,0,100,4,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,95,10325,30,30,100,0,100,0,200,0,100,1322,100,8632995792,100,619674022
1,119,217870736,91,0,100,8,100,0,85,382687592,80,17703,100,0,100,8,99,1,100,0,100,0,100,0,94,6,78,22,100,0,100,1,100,1276,22,22,100,0,100,0,200,0,100,2.22088E+14,100,22468041682,100,2.19677E+11
1,112,46086176,92,0,100,18,100,28,85,397892113,80,18098,100,0,100,18,100,0,100,0,100,0,100,0,93,7,69,31,100,0,100,13,97,6512,31,31,100,28,100,28,200,0,100,9.83977E+13,100,23512746680,100,2.22889E+11
1,114,68768136,92,0,100,9,100,0,88,719021228,75,22310,100,0,100,9,100,0,100,0,100,0,100,1,85,15,80,20,100,0,100,4,85,31134,20,20,100,0,100,0,200,0,100,5.44817E+13,100,29191459902,100,1.47017E+11
1,108,19198400,92,0,100,8,100,0,86,427713589,80,18068,100,0,100,8,99,1,100,0,100,0,100,0,98,2,72,28,100,0,100,6,100,1067,28,28,100,32,100,32,200,0,100,1.60297E+14,100,23860658384,100,2.13157E+11
1,112,49096784,92,0,100,11,100,0,87,563878541,75,22308,100,0,100,11,100,0,100,0,97,3,100,4295032833,94,6,77,23,100,0,100,5,74,52606,23,23,100,8,100,8,200,0,100,1.13542E+14,100,26665386552,100,1.26512E+11
1,119,204702260,95,0,100,5,100,1,78,71391245,97,2764,100,0,100,5,100,0,100,0,1,65535,100,0,100,0,78,22,100,0,100,0,50,101808,22,22,100,7,100,7,200,0,100,1992,100,6965827611,100,21724582428
1,116,115402192,92,0,100,11,100,0,87,657016083,76,21720,100,0,100,11,100,0,100,0,100,0,100,0,86,14,76,24,100,0,100,5,93,15288,24,24,100,0,100,0,200,0,100,21660,100,29301646302,100,1.38466E+11
0,115,98014944,95,0,100,5,100,0,85,381936966,91,8002,100,0,100,5,100,0,100,0,100,0,100,0,100,0,82,18,100,0,100,0,79,42048,18,18,100,0,100,0,200,0,100,7850,100,30789218960,100,51485037356
0,118,168823960,97,0,100,3,100,0,80,112038786,97,3032,100,0,100,3,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,97,6975,31,31,100,0,100,0,200,0,100,2798,100,16085503800,100,5629327275
0,117,128870360,96,0,100,4,100,0,79,98185314,98,2168,100,0,100,4,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,99,2343,30,30,100,0,100,0,200,0,100,2088,100,14800697896,100,1036985621
0,120,235423688,95,0,100,5,100,0,86,441279772,91,8317,100,0,100,5,100,0,100,0,100,0,100,1,100,0,79,21,100,0,100,0,98,5387,21,21,100,0,100,0,200,0,100,8286,100,16082120316,100,1.31955E+11
0,118,200254232,97,0,100,3,100,0,87,586246770,88,10736,100,0,100,3,100,0,100,0,100,0,100,0,97,3,77,23,100,0,100,0,100,1012,23,23,100,0,100,0,200,0,100,10726,100,18228645899,100,1.42391E+11
0,117,138519504,91,0,100,16,100,0,87,615593903,77,21021,100,0,100,16,99,1,100,0,100,0,100,0,99,1,81,19,100,0,100,3,86,29535,19,19,100,0,100,0,200,0,100,6.69628E+13,100,25177358472,100,1.61429E+11
0,113,52639872,96,0,100,4,100,0,64,2653435,100,661,100,0,100,3,100,0,100,0,100,0,100,0,100,0,74,26,100,0,100,0,89,22956,26,26,100,0,100,0,200,0,100,321,100,701725936,100,267252794
0,118,180911328,92,0,100,9,100,0,81,138196761,83,15316,100,0,100,9,100,0,100,0,100,0,100,0,100,0,77,23,100,0,100,0,99,3626,23,23,100,0,100,0,200,0,100,15185,100,22105373894,100,1.42082E+11
0,119,220449720,99,0,100,1,100,0,84,244485407,93,6321,100,0,100,1,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,90,20043,30,30,100,0,100,0,200,0,100,6200,100,25457691008,100,6896153227
0,119,208334744,93,0,100,7,100,0,87,497394486,91,8550,100,0,100,7,100,0,100,0,100,0,100,0,100,0,74,26,100,0,100,0,98,4779,26,26,100,0,100,0,200,0,100,1.5775E+14,100,12560751216,100,27080875534
0,120,243253016,92,0,100,11,100,0,84,277214457,93,6660,100,0,100,11,100,0,100,0,100,0,100,0,100,0,74,26,100,0,100,0,95,10527,26,26,100,0,100,0,200,0,100,6621,100,11724855478,100,75682407772
0,120,243673880,91,0,100,9,100,0,88,705840418,76,21722,100,0,100,9,100,0,100,0,100,0,100,0,90,10,75,25,100,0,100,5,97,6881,25,25,100,0,100,0,200,0,100,6.54682E+13,100,27093545768,100,1.34758E+11
0,115,99239312,91,0,100,14,100,0,82,200585096,82,16305,100,0,100,14,100,0,100,0,100,0,100,0,96,4,70,30,100,0,100,3,84,32624,30,30,100,0,100,0,200,0,100,16172,100,21167012296,100,1.87725E+11
0,118,168239248,96,0,100,4,100,0,83,211530898,83,15752,100,0,100,4,100,0,100,0,100,0,100,0,97,3,69,31,100,0,100,2,97,6369,31,31,100,0,100,0,200,0,100,15725,100,21550829410,100,1.80527E+11
0,119,232067952,94,0,100,6,100,0,82,182131406,97,2793,100,0,100,6,100,0,100,0,100,0,100,2,100,0,70,30,100,0,100,1,100,140,30,30,100,0,100,0,200,0,100,2783,100,11156845082,100,54769977766
0,109,23076328,92,0,100,16,100,0,88,680929652,76,21724,100,0,100,16,100,0,100,0,100,0,100,0,100,0,76,24,100,0,100,6,85,30336,24,24,100,0,100,0,200,0,100,2.26731E+13,100,27090567466,100,1.44839E+11
0,113,55736920,98,0,100,2,100,0,84,332444032,91,8001,100,0,100,2,100,0,100,0,100,0,100,0,100,0,83,17,100,0,100,0,79,42186,17,17,100,0,100,0,200,0,100,7855,100,30000132640,100,22403103632
0,120,243174448,98,0,100,2,100,0,83,216071031,94,5647,100,0,100,2,100,0,100,0,100,0,100,0,100,0,78,22,100,0,100,0,84,32680,22,22,100,0,100,0,200,0,100,5519,100,22923005144,100,3456340091
0,118,197434016,92,0,100,13,100,0,88,5053390156,75,22330,100,0,100,13,100,0,100,0,100,0,100,0,97,3,76,24,100,0,100,6,91,18378,24,24,100,0,100,0,200,0,100,1.22011E+14,100,26486444122,100,1.39E+11
0,105,10048624,92,0,100,19,100,0,88,706650664,75,22495,100,0,100,19,100,0,100,0,100,0,100,0,85,15,75,25,100,0,100,7,96,8828,25,25,100,0,100,0,200,0,100,5.63285E+13,100,27858230706,100,1.61939E+11
0,117,134745600,99,0,100,1,100,0,81,149225431,97,3274,100,0,100,1,100,0,100,0,100,0,100,0,100,0,73,27,100,0,100,0,94,12804,27,27,100,0,100,0,200,0,100,3183,100,19064040920,100,2438616707
1,108,15998736,99,0,100,1,100,0,75,40171762,99,1166,100,0,100,1,100,0,100,0,100,0,100,0,100,0,73,27,100,0,100,0,97,6765,27,27,100,0,100,0,200,0,100,1019,100,6485005688,100,445428815
1,112,42952144,92,0,100,9,100,32,87,606741971,89,9779,100,0,100,9,100,0,100,0,91,9,100,0,100,0,77,23,100,0,100,0,89,23745,23,23,100,0,100,0,200,0,100,1.61963E+13,100,13584953412,100,22872635386
1,119,232830168,91,0,100,13,100,408,84,268805112,81,16829,100,0,100,13,100,0,100,0,100,0,100,0,95,5,79,21,100,0,100,1,77,46439,21,21,100,32,100,32,200,0,100,16638,100,23402373388,100,1.32906E+11
0,118,189842120,91,0,100,13,100,0,84,4561081529,81,16830,100,0,100,13,100,0,100,0,100,0,100,0,95,5,77,23,100,0,100,2,91,18208,23,23,100,0,100,0,200,0,100,16757,100,23430158912,100,2.04589E+11
0,117,162817648,98,0,100,2,100,0,78,75071212,99,1687,100,0,100,2,100,0,100,0,100,0,100,0,100,0,68,32,100,0,100,0,98,5399,32,32,100,0,100,0,200,0,100,1631,100,11707240048,100,737694675
0,114,81082008,96,0,100,4,100,0,87,517866593,91,8672,100,0,100,4,100,0,100,0,100,0,100,0,100,0,67,33,100,0,100,0,97,7891,33,33,100,0,100,0,200,0,100,8639,100,16417991406,100,1.87772E+11
0,116,114317120,98,0,100,2,100,0,75,40338025,99,1166,100,0,100,2,100,0,100,0,100,0,100,0,100,0,67,33,100,0,100,0,97,6826,33,33,100,0,100,0,200,0,100,1022,100,6619623048,100,457449656
0,118,185711248,91,0,100,15,100,0,86,454733958,78,19396,100,0,100,15,100,0,100,0,100,0,100,0,99,1,66,34,100,0,100,6,81,39405,34,34,100,0,100,0,200,0,100,5.32146E+12,100,24979364742,100,2.42446E+11
0,114,64187664,96,0,100,4,100,0,66,3687042,99,986,100,0,100,3,100,0,100,0,100,0,100,0,100,0,73,27,100,0,100,0,88,25407,27,27,100,0,100,0,200,0,100,582,100,949149424,100,265229168
0,117,138426840,97,0,100,3,100,0,87,472737183,91,8481,100,0,100,3,100,0,100,0,100,0,100,1,100,0,73,27,100,0,100,0,95,10382,27,27,100,0,100,0,200,0,100,8435,100,16922183871,100,1.34537E+11
0,105,8452904,92,0,100,9,100,0,81,139945268,83,15341,100,0,100,9,100,0,100,0,100,0,100,0,100,0,78,22,100,0,100,1,99,3689,22,22,100,0,100,0,200,0,100,15211,100,22130611960,100,1.6365E+11
0,113,51291048,97,0,100,3,100,0,64,2645083,100,555,100,0,100,3,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,88,24032,31,31,100,0,100,0,200,0,100,351,100,702628816,100,267359383
1,118,176075200,92,0,100,12,100,0,87,563921754,75,22358,100,0,100,12,100,0,100,0,94,6,100,0,83,17,78,22,100,0,100,5,73,54388,22,22,100,0,100,0,200,0,100,6.50688E+13,100,26635301612,100,1.32557E+11
1,119,231409352,92,0,100,8,100,0,87,491192217,79,19110,100,0,100,8,99,1,100,0,100,0,100,0,97,3,81,19,100,0,100,2,98,4171,19,19,100,64,100,64,200,0,100,6.55713E+13,100,24999304874,100,2.41171E+11
1,114,71955704,96,0,100,4,100,0,81,119368040,98,2245,100,0,100,4,98,2,100,0,82,18,100,0,100,0,65,35,100,0,100,0,100,1922,35,35,100,8,100,8,200,0,100,2173,100,14798951040,100,5904146301
0,119,206081632,96,0,100,4,100,0,80,111781638,97,3057,100,0,100,4,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,97,7059,30,30,100,0,100,0,200,0,100,2821,100,15707201456,100,1350847266
0,116,101724752,92,0,100,8,100,0,88,797207398,82,16106,100,0,100,8,100,0,100,0,100,0,100,0,97,3,77,23,100,0,100,5,94,13561,23,23,100,0,100,0,200,0,100,1.22093E+14,100,15457981376,100,34864831165
0,114,68223832,96,0,100,4,100,0,87,519091072,91,8696,100,0,100,4,100,0,100,0,100,0,100,0,100,0,67,33,100,0,100,0,97,7891,33,33,100,0,100,0,200,0,100,8663,100,16440738009,100,1.87888E+11
0,116,112003184,92,0,100,35,100,0,84,309152167,81,17061,100,0,100,35,99,1,100,0,100,0,100,0,98,2,65,35,100,0,100,21,97,7571,35,35,100,0,100,0,200,0,100,17027,100,21825571344,100,2.0819E+11
0,114,61616352,93,0,100,7,100,0,84,252963187,82,16019,100,0,100,7,100,0,100,0,100,0,100,0,98,2,72,28,100,0,100,1,95,10825,28,28,100,0,100,0,200,0,100,3.48107E+13,100,21329593482,100,1.94414E+11
0,117,147998048,99,0,100,1,100,0,85,343465124,90,9462,100,0,100,1,100,0,100,0,100,0,100,0,100,0,79,21,100,0,100,0,99,3482,21,21,100,0,100,0,200,0,100,9442,100,13280087238,100,50943908190
0,118,187324552,98,0,100,2,100,0,81,120803289,97,2892,100,0,100,2,100,0,100,0,100,0,100,0,100,0,64,36,100,0,100,0,97,6640,36,36,100,0,100,0,200,0,100,2709,100,16724827264,100,1443886825
0,117,166670448,98,0,100,5,100,0,83,210727075,96,4257,100,0,100,2,100,0,100,0,100,0,100,0,100,0,78,22,100,0,100,0,99,2830,22,22,100,0,100,0,200,0,100,4246,100,22228842168,100,2555621451
0,113,51291048,97,0,100,3,100,0,64,2654723,100,579,100,0,100,3,100,0,100,0,100,0,100,0,100,0,68,32,100,0,100,0,88,24941,32,32,100,0,100,0,200,0,100,368,100,702701688,100,267510111
1,115,90324192,91,0,100,9,100,32,84,316406912,81,17136,100,0,100,9,100,0,100,0,100,0,100,0,90,10,64,36,100,0,100,1,99,2804,36,36,100,72,100,72,200,0,100,17119,100,21649629796,100,2.07173E+11
1,114,63849008,92,0,100,25,100,0,86,443646616,76,21108,100,0,100,25,100,0,100,0,100,0,100,0,95,5,78,22,100,0,100,7,49,103169,22,22,100,40,100,40,200,0,100,20625,100,30858549716,100,2.88811E+11
1,117,153592192,95,0,100,5,100,0,82,181825345,97,2773,100,0,100,5,100,0,100,0,94,6,100,0,100,0,70,30,100,0,100,0,99,2074,30,30,100,0,100,0,200,0,100,2723,100,11290068432,100,57509431158
1,115,94144224,91,0,100,8,100,0,87,475259565,78,19330,100,0,100,8,100,0,100,0,100,0,100,0,97,3,78,22,100,0,100,5,96,9485,22,22,100,32,100,32,200,0,100,2.36936E+14,100,24958628680,100,2.4005E+11
1,118,169968704,92,0,100,10,100,0,87,604415733,84,14680,100,0,100,10,100,0,100,0,100,0,100,0,99,1,73,27,100,0,100,4,87,27891,27,27,100,24,100,24,200,0,100,14408,100,19524551551,100,90297618019
0,113,51237560,94,0,100,6,100,0,82,182829852,97,2936,100,0,100,6,100,0,100,0,100,0,100,0,100,0,79,21,100,0,100,0,99,2093,21,21,100,0,100,0,200,0,100,2929,100,11097600134,100,71158047873
0,104,6320904,99,0,100,1,100,0,81,158636807,97,3350,100,0,100,1,100,0,100,0,100,0,100,0,100,0,65,35,100,0,100,0,94,12532,35,35,100,0,100,0,200,0,100,3268,100,18438048312,100,8812754394
0,119,218732816,98,0,100,2,100,0,78,61802176,99,1281,100,0,100,2,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,100,1498,30,30,100,0,100,0,200,0,100,1244,100,9390938480,100,614726426
0,109,23175712,96,0,100,4,100,0,78,60354476,99,1476,100,0,100,4,100,0,100,0,100,0,100,0,100,0,76,24,100,0,100,1,100,549,24,24,100,0,100,0,200,0,100,1474,100,8389776313,100,1902668980
0,109,24857768,92,0,100,8,100,0,83,202338672,94,5266,100,0,100,8,100,0,100,0,100,0,100,0,100,0,72,28,100,0,100,0,85,31392,28,28,100,0,100,0,200,0,100,5056,100,23039736616,100,7060177055
0,115,96792360,91,0,100,13,100,0,84,272559350,81,16902,100,0,100,13,99,1,100,0,100,0,100,0,82,18,76,24,100,0,100,2,91,18264,24,24,100,0,100,0,200,0,100,16828,100,23490853430,100,2.04913E+11
0,115,98600040,98,0,100,2,100,0,86,404365187,91,8095,100,0,100,2,100,0,100,0,100,0,100,0,100,0,82,18,100,0,100,0,79,43536,18,18,100,0,100,0,200,0,100,7948,100,30468674200,100,33573917126
0,114,69540928,96,0,100,4,100,0,81,130394017,98,2313,100,0,100,4,100,0,100,0,100,0,100,0,100,0,71,29,100,0,100,0,100,1935,29,29,100,0,100,0,200,0,100,2240,100,14878558672,100,8413788122
0,112,43971768,92,0,100,30,100,0,89,841859660,78,19518,100,0,100,30,99,1,100,0,100,0,100,0,97,3,71,29,100,0,100,7,1,453488,29,29,100,0,100,0,200,0,100,17698,100,21642630145,100,1.1791E+11
0,115,91416688,91,0,100,13,100,0,84,283848064,81,16903,100,0,100,13,99,1,100,0,100,0,100,0,87,13,79,21,100,0,100,2,92,16496,21,21,100,0,100,0,200,0,100,16837,100,23567822684,100,2.12367E+11
0,114,68164472,91,0,100,9,100,0,86,462671712,91,8287,100,0,100,9,100,0,100,0,100,0,100,0,100,0,77,23,100,0,100,0,90,21814,23,23,100,0,100,0,200,0,100,8210,100,16135867711,100,1.49529E+11
